Received At;Value
2024-07-31T06:44:11Z;10
2024-07-31T06:44:10Z;10
2024-07-31T06:44:09Z;10
2024-07-31T06:44:08Z;10
2024-07-31T06:44:07Z;10
2024-07-31T06:44:06Z;10
2024-07-31T06:44:05Z;10
2024-07-31T06:44:04Z;10
2024-07-31T06:44:03Z;10
2024-07-31T06:44:02Z;10
2024-07-31T06:44:01Z;10
2024-07-31T06:44:00Z;10
2024-07-31T06:43:59Z;10
2024-07-31T06:43:58Z;11
2024-07-31T06:43:57Z;11
2024-07-31T06:43:56Z;11
2024-07-31T06:43:55Z;11
2024-07-31T06:43:54Z;11
2024-07-31T06:43:53Z;11
2024-07-31T06:43:52Z;11
2024-07-31T06:43:51Z;11
2024-07-31T06:43:50Z;11
2024-07-31T06:43:49Z;11
2024-07-31T06:43:48Z;11
2024-07-31T06:43:47Z;11
2024-07-31T06:43:46Z;11
2024-07-31T06:43:45Z;11
2024-07-31T06:43:44Z;11
2024-07-31T06:43:43Z;11
2024-07-31T06:43:42Z;11
2024-07-31T06:43:41Z;11
2024-07-31T06:43:40Z;11
2024-07-31T06:43:39Z;11
2024-07-31T06:43:38Z;11
2024-07-31T06:43:37Z;11
2024-07-31T06:43:36Z;11
2024-07-31T06:43:35Z;11
2024-07-31T06:43:34Z;11
2024-07-31T06:43:33Z;11
2024-07-31T06:43:32Z;11
2024-07-31T06:43:31Z;10
2024-07-31T06:43:30Z;10
2024-07-31T06:43:29Z;10
2024-07-31T06:43:28Z;10
2024-07-31T06:43:27Z;10
2024-07-31T06:43:26Z;10
2024-07-31T06:43:25Z;10
2024-07-31T06:43:24Z;10
2024-07-31T06:43:23Z;10
2024-07-31T06:43:22Z;10
2024-07-31T06:43:21Z;10
2024-07-31T06:43:20Z;10
2024-07-31T06:43:19Z;10
2024-07-31T06:43:18Z;10
2024-07-31T06:43:17Z;10
2024-07-31T06:43:16Z;11
2024-07-31T06:43:15Z;11
2024-07-31T06:43:14Z;11
2024-07-31T06:43:13Z;11
2024-07-31T06:43:12Z;11
2024-07-31T06:43:11Z;11
2024-07-31T06:43:10Z;11
2024-07-31T06:43:09Z;11
2024-07-31T06:43:08Z;11
2024-07-31T06:43:07Z;11
2024-07-31T06:43:06Z;11
2024-07-31T06:43:05Z;11
2024-07-31T06:43:04Z;11
2024-07-31T06:43:03Z;11
2024-07-31T06:43:02Z;11
2024-07-31T06:43:01Z;11
2024-07-31T06:43:00Z;11
2024-07-31T06:42:59Z;11
2024-07-31T06:42:58Z;11
2024-07-31T06:42:57Z;11
2024-07-31T06:42:56Z;11
2024-07-31T06:42:55Z;11
2024-07-31T06:42:54Z;11
2024-07-31T06:42:53Z;11
2024-07-31T06:42:52Z;11
2024-07-31T06:42:51Z;11
2024-07-31T06:42:50Z;11
2024-07-31T06:42:49Z;11
2024-07-31T06:42:48Z;11
2024-07-31T06:42:47Z;11
2024-07-31T06:42:46Z;11
2024-07-31T06:42:45Z;11
2024-07-31T06:42:44Z;11
2024-07-31T06:42:43Z;11
2024-07-31T06:42:42Z;11
2024-07-31T06:42:41Z;11
2024-07-31T06:42:40Z;11
2024-07-31T06:42:39Z;11
2024-07-31T06:42:38Z;11
2024-07-31T06:42:37Z;11
2024-07-31T06:42:36Z;11
2024-07-31T06:42:35Z;11
2024-07-31T06:42:34Z;11
