Received At;Value
2024-07-31T06:44:08Z;1288
2024-07-31T06:44:05Z;1286
2024-07-31T06:44:02Z;1285
2024-07-31T06:43:59Z;1281
2024-07-31T06:43:56Z;1281
2024-07-31T06:43:53Z;1282
2024-07-31T06:43:50Z;1281
2024-07-31T06:43:47Z;1282
2024-07-31T06:43:44Z;1284
2024-07-31T06:43:41Z;1283
2024-07-31T06:43:38Z;1282
2024-07-31T06:43:35Z;1285
2024-07-31T06:43:32Z;1288
2024-07-31T06:43:29Z;1292
2024-07-31T06:43:26Z;1293
2024-07-31T06:43:23Z;1294
2024-07-31T06:43:20Z;1295
2024-07-31T06:43:17Z;1293
2024-07-31T06:43:14Z;1294
2024-07-31T06:43:11Z;1297
2024-07-31T06:43:08Z;1299
2024-07-31T06:43:05Z;1301
2024-07-31T06:43:02Z;1305
2024-07-31T06:42:59Z;1306
2024-07-31T06:42:56Z;1311
2024-07-31T06:42:53Z;1309
2024-07-31T06:42:50Z;1305
2024-07-31T06:42:47Z;1307
2024-07-31T06:42:44Z;1304
2024-07-31T06:42:41Z;1303
2024-07-31T06:42:38Z;1300
2024-07-31T06:42:35Z;1301
2024-07-31T06:42:32Z;1303
2024-07-31T06:42:29Z;1303
2024-07-31T06:42:26Z;1303
2024-07-31T06:42:23Z;1304
2024-07-31T06:42:20Z;1306
2024-07-31T06:42:17Z;1305
2024-07-31T06:42:14Z;1307
2024-07-31T06:42:11Z;1308
2024-07-31T06:42:08Z;1311
2024-07-31T06:42:05Z;1309
2024-07-31T06:42:02Z;1315
2024-07-31T06:41:59Z;1317
2024-07-31T06:41:56Z;1320
2024-07-31T06:41:53Z;1320
2024-07-31T06:41:50Z;1321
2024-07-31T06:41:47Z;1319
2024-07-31T06:41:44Z;1316
2024-07-31T06:41:41Z;1313
2024-07-31T06:41:38Z;1316
2024-07-31T06:41:35Z;1313
2024-07-31T06:41:32Z;1317
2024-07-31T06:41:29Z;1317
2024-07-31T06:41:26Z;1316
2024-07-31T06:41:23Z;1320
2024-07-31T06:41:20Z;1318
2024-07-31T06:41:17Z;1321
2024-07-31T06:41:14Z;1321
2024-07-31T06:41:11Z;1325
2024-07-31T06:41:08Z;1325
2024-07-31T06:41:05Z;1324
2024-07-31T06:41:02Z;1325
2024-07-31T06:40:59Z;1325
